Filename,Predictions
9102.jpg,"Fiction,Romance"
34116.jpg,Fiction
53879.jpg,Fiction
30327.jpg,"Childrens,Fiction,Humor"
36487.jpg,Fiction
29062.jpg,"Fiction,Historical"
18239.jpg,"Fantasy,Fiction"
40351.jpg,"Fiction,Romance"
49094.jpg,"Fantasy,Romance"
23476.jpg,"Contemporary,Fiction,Romance,Young Adult"
21537.jpg,"Contemporary,Fiction,Romance"
18508.jpg,"Childrens,Fantasy,Fiction"
47838.jpg,"Fantasy,Fiction,Science Fiction"
9456.jpg,"Fantasy,Fiction,Young Adult"
15680.jpg,"Fantasy,Fiction,Young Adult"
34041.jpg,"Fantasy,Paranormal,Romance,Young Adult"
9808.jpg,"Fantasy,Fiction,Mystery"
39788.jpg,"Fantasy,Fiction,Romance"
12775.jpg,"Fantasy,Fiction,Romance,Young Adult"
16722.jpg,Fiction
3052.jpg,"Fantasy,Fiction,Mystery"
51301.jpg,"Fantasy,Fiction,Romance"
25423.jpg,"Fiction,Mystery,Thriller"
38808.jpg,Romance
51874.jpg,"Fantasy,Fiction"
36537.jpg,"Fantasy,Fiction"
23629.jpg,"Childrens,Fantasy,Romance,Young Adult"
7477.jpg,Fiction
24075.jpg,"Contemporary,Romance"
44602.jpg,"Fantasy,Fiction,Historical,Young Adult"
32286.jpg,Fiction
29372.jpg,"Fantasy,Fiction,Romance,Young Adult"
14246.jpg,"Fiction,Romance"
45858.jpg,Fiction
27289.jpg,Fiction
19280.jpg,"Fantasy,Fiction,Romance"
51288.jpg,"Fantasy,Fiction,Romance,Young Adult"
24837.jpg,"Fiction,Romance"
51570.jpg,Fiction
1228.jpg,"Fantasy,Fiction,Romance"
19541.jpg,"Fiction,Mystery,Thriller"
18247.jpg,Fiction
17613.jpg,"Fiction,Nonfiction"
49738.jpg,"Fantasy,Fiction,Young Adult"
35800.jpg,"Fantasy,Fiction,Romance,Young Adult"
22523.jpg,"Fiction,Romance"
10255.jpg,"Fantasy,Paranormal,Romance,Young Adult"
28950.jpg,"Childrens,Fantasy,Fiction,Young Adult"
53923.jpg,"Fantasy,Fiction,Romance,Young Adult"
3780.jpg,Fiction
41050.jpg,"Contemporary,Fiction,Young Adult"
26417.jpg,"Fantasy,Fiction"
20149.jpg,"Fantasy,Fiction"
35647.jpg,"Fiction,Romance"
2424.jpg,"Fantasy,Romance"
17152.jpg,"Fantasy,Fiction"
4479.jpg,"Fantasy,Fiction,Romance,Young Adult"
9105.jpg,"Childrens,Fantasy,Fiction"
51254.jpg,"Fantasy,Fiction"
30865.jpg,"Childrens,Fantasy,Fiction"
18746.jpg,Fiction
18749.jpg,"Fantasy,Fiction,Romance"
32662.jpg,"Fantasy,Fiction,Young Adult"
18330.jpg,"Fiction,Nonfiction"
33757.jpg,Fiction
32170.jpg,"Fantasy,Romance,Young Adult"
34605.jpg,"Fantasy,Paranormal,Romance,Young Adult"
30620.jpg,"Fantasy,Fiction,Young Adult"
7596.jpg,"Fantasy,Fiction,Young Adult"
29351.jpg,Fiction
46141.jpg,"Fantasy,Fiction"
7257.jpg,"Childrens,Fantasy,Fiction,Young Adult"
37028.jpg,"Fantasy,Fiction"
25012.jpg,"Fiction,Romance"
14762.jpg,"Fantasy,Romance"
23879.jpg,"Fiction,Romance"
34686.jpg,"Fantasy,Fiction,Young Adult"
7465.jpg,"Fantasy,Fiction,Historical,Historical Fiction,Romance"
28887.jpg,"Fiction,Romance,Young Adult"
34461.jpg,"Fantasy,Fiction"
50587.jpg,Fiction
7237.jpg,"Fantasy,Fiction"
31452.jpg,"Fantasy,Fiction"
30862.jpg,"Fantasy,Fiction"
9232.jpg,"Fantasy,Fiction"
42486.jpg,"Fantasy,Fiction"
41029.jpg,"Fantasy,Fiction"
11345.jpg,"Fantasy,Fiction,Young Adult"
20163.jpg,"Fantasy,Fiction"
